REF_AREA,Reference area,TIME_PERIOD,productivity,emissions,renewable_supply,sustainability_category,country_pattern,emissions_scaled,cluster
JOR,Jordan,2020,4.6,19.96,6.91,Very Low,Industrial Giants,-0.06197183098591548,0
KAZ,Kazakhstan,2020,2.22,204.37,1.6,Very Low,Emerging Polluters,1.9751449875724938,0
KEN,Kenya,2020,13.18,15.75,16.91,Very Low,Green Leaders,-0.10847832090582711,0
KOR,Korea,2020,3.92,546.81,1.44,Very Low,Emerging Polluters,5.757967412317038,0
KWT,Kuwait,2020,1.84,90.86,0.12,Very Low,Emerging Polluters,0.7212372272852802,0
KGZ,Kyrgyzstan,2020,3.35,8.26,31.8,Low,Emerging Polluters,-0.1912178956089478,1
LAO,Lao People’s Democratic Republic,2020,3.16,16.89,45.81,Medium,Emerging Polluters,-0.09588511460922396,1
LVA,Latvia,2020,8.27,6.38,9.47,Very Low,Developing Sustainers,-0.211985639326153,0
LBN,Lebanon,2020,3.89,20.88,2.29,Very Low,Emerging Polluters,-0.051808892571112965,0
LBY,Libya,2020,1.68,38.51,0.0,Very Low,Emerging Polluters,0.1429439381386357,0
LTU,Lithuania,2020,8.75,11.14,4.55,Very Low,Developing Sustainers,-0.15940347970173985,0
LUX,Luxembourg,2020,9.06,7.47,6.61,Very Low,Developing Sustainers,-0.19994476663904998,0
MDG,Madagascar,2020,13.93,2.99,0.69,Very Low,Green Leaders,-0.24943385805026233,0
MYS,Malaysia,2020,3.88,225.87,3.61,Very Low,Emerging Polluters,2.212648439657553,0
MLT,Malta,2020,12.38,1.61,6.0,Very Low,Green Leaders,-0.26467826567246616,0
MUS,Mauritius,2020,6.71,3.72,2.4,Very Low,Developing Sustainers,-0.24136978735156034,0
MEX,Mexico,2020,6.24,356.37,4.39,Very Low,Industrial Giants,3.6542391604529136,0
MDA,Moldova,2020,3.5,8.03,0.93,Very Low,Emerging Polluters,-0.19375863021264841,0
MNG,Mongolia,2020,1.78,20.67,0.89,Very Low,Emerging Polluters,-0.05412869373101351,0
MNE,Montenegro,2020,4.01,2.53,14.92,Very Low,Emerging Polluters,-0.2545153272576636,0
MAR,Morocco,2020,4.57,62.23,3.79,Very Low,Industrial Giants,0.40497100248550116,0
MOZ,Mozambique,2020,6.72,5.85,12.53,Very Low,Developing Sustainers,-0.21784037558685443,0
MMR,Myanmar,2020,8.62,30.58,4.01,Very Low,Developing Sustainers,0.05534382767191381,0
NAM,Namibia,2020,6.47,3.5,8.82,Very Low,Developing Sustainers,-0.24380005523336093,0
NLD,Netherlands,2020,7.09,129.89,6.06,Very Low,Developing Sustainers,1.152388842861088,0
NZL,New Zealand,2020,6.51,30.57,36.52,Low,Developing Sustainers,0.055233360950013806,1
NIC,Nicaragua,2020,7.87,4.29,19.69,Very Low,Developing Sustainers,-0.23507318420325876,0
NER,Niger,2020,14.27,2.14,0.06,Very Low,Green Leaders,-0.2588235294117647,0
NGA,Nigeria,2020,10.71,93.74,0.42,Very Low,Green Leaders,0.7530516431924881,0
MKD,North Macedonia,2020,4.49,6.78,5.66,Very Low,Industrial Giants,-0.20756697045015188,0
NOR,Norway,2020,9.13,36.01,49.64,Medium,Green Leaders,0.1153272576636288,1
OMN,Oman,2020,2.39,64.27,0.04,Very Low,Emerging Polluters,0.4275062137531068,0
PAK,Pakistan,2020,6.14,189.59,3.0,Very Low,Industrial Giants,1.811875172604253,0
PAN,Panama,2020,11.01,9.29,17.84,Very Low,Green Leaders,-0.17983982325324496,0
PRY,Paraguay,2020,11.91,7.31,59.43,Medium,Green Leaders,-0.20171223418945045,1
PER,Peru,2020,8.39,42.44,14.33,Very Low,Developing Sustainers,0.18635735984534654,0
PHL,Philippines,2020,6.87,123.7,18.19,Very Low,Developing Sustainers,1.084009942004971,0
POL,Poland,2020,4.39,272.5,3.26,Very Low,Industrial Giants,2.727754763877382,0
PRT,Portugal,2020,8.6,36.52,14.85,Very Low,Developing Sustainers,0.12096106048053026,0
QAT,Qatar,2020,2.86,83.89,0.0,Very Low,Emerging Polluters,0.644241922120961,0
ROU,Romania,2020,7.81,64.74,8.07,Very Low,Developing Sustainers,0.4326981496824081,0
RUS,Russia,2020,2.34,1559.75,2.46,Very Low,Emerging Polluters,16.947583540458435,0
RWA,Rwanda,2020,21.25,1.23,1.01,Very Low,Green Leaders,-0.2688760011046672,0
SAU,Saudi Arabia,2020,3.32,483.15,0.03,Very Low,Emerging Polluters,5.054736260701463,0
SEN,Senegal,2020,7.05,7.97,1.11,Very Low,Developing Sustainers,-0.19442143054404862,0
SRB,Serbia,2020,2.66,45.37,5.73,Very Low,Emerging Polluters,0.21872410936205464,0
SGP,Singapore,2020,12.03,43.66,1.0,Very Low,Green Leaders,0.1998342999171499,0
SVK,Slovak Republic,2020,6.39,27.59,4.72,Very Low,Developing Sustainers,0.022314277823805573,0
SVN,Slovenia,2020,6.1,11.99,9.33,Very Low,Industrial Giants,-0.1500138083402375,0
ZAF,South Africa,2020,1.92,386.15,1.15,Very Low,Emerging Polluters,3.9832090582711954,0
SSD,South Sudan,2020,7.24,1.76,0.12,Very Low,Developing Sustainers,-0.2630212648439657,0
ESP,Spain,2020,8.2,194.51,11.99,Very Low,Developing Sustainers,1.8662247997790664,0
LKA,Sri Lanka,2020,13.4,20.83,4.13,Very Low,Green Leaders,-0.05236122618061311,0
SDN,Sudan,2020,9.0,17.93,4.51,Very Low,Developing Sustainers,-0.0843965755316211,0
SUR,Suriname,2020,3.21,2.58,8.08,Very Low,Emerging Polluters,-0.2539629936481635,0
SWE,Sweden,2020,15.82,32.29,25.78,Low,Green Leaders,0.07423363711681855,0
CHE,Switzerland,2020,17.14,33.24,19.2,Very Low,Green Leaders,0.0847279756973212,0
TJK,Tajikistan,2020,4.9,7.25,42.56,Medium,Industrial Giants,-0.2023750345208506,1
TZA,Tanzania,2020,10.98,13.83,1.15,Very Low,Green Leaders,-0.1296879315106324,0
THA,Thailand,2020,4.96,241.76,3.67,Very Low,Industrial Giants,2.3881800607566968,0
TGO,Togo,2020,11.01,1.59,0.36,Very Low,Green Leaders,-0.2648991991162662,0
TTO,Trinidad and Tobago,2020,2.18,14.85,0.0,Very Low,Emerging Polluters,-0.1184203258768296,0
TUN,Tunisia,2020,4.81,25.2,1.27,Very Low,Industrial Giants,-0.004087268710301032,0
TKM,Turkmenistan,2020,1.81,59.18,0.0,Very Low,Emerging Polluters,0.3712786523059928,0
TUR,Türkiye,2020,6.49,366.19,14.98,Very Low,Developing Sustainers,3.7627174813587403,0
UGA,Uganda,2020,20.12,5.14,2.05,Very Low,Green Leaders,-0.22568351284175642,0
